06010000;https://www.drmartens.com/us/en/originals-boots-and-shoes/boots/c/06010000;Original Leather and Vegan Boots | Dr. Martens Official;"
                    Designed for industry. Championed through music. Our Originals were first built decades ago and have become iconic through our many wearers. Renowned for their durability, the collection includes boots and shoes that stay true to our core heritage and DNA. ";Originals Boots;/us/en/,/us/en/originals-boots-and-shoes/c/06000000;Home,ORIGINALS BOOTS AND SHOES
06015600;https://www.drmartens.com/us/en/originals-boots-and-shoes/boots/1460-lace-up-boots/c/06015600;1460 Boots | Dr. Martens Official;"
                    Our most famous and instantly recognizable silhouette, the 1460 is the Original Dr. Martens boot. First created in 1960, and made iconic by our wearers in the decades since: the 1460 lace up boot is built to last. Our collection now includes a variety of bold designs, colors and textures. ";1460 Lace-Up Boots;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/boots/c/06010000;Home,ORIGINALS BOOTS AND SHOES,BOOTS
06015700;https://www.drmartens.com/us/en/originals-boots-and-shoes/boots/1490-boots/c/06015700;1490 (10 Eye Boots) | Dr. Martens Official;"
                    Over time our boots have become icons, recognized around the world for their distinct silhouettes and air-cushioned comfort. Our range of 10-eye 1490 mid-calf, lace up boots are no different. Available in the iconic Dr. Martens originals Smooth leather, the collection is ever-evolving and continues to stay true to our heritage. ";1490 Mid Calf Boots;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/boots/c/06010000;Home,ORIGINALS BOOTS AND SHOES,BOOTS
06015900;https://www.drmartens.com/us/en/originals-boots-and-shoes/boots/2976-chelsea-boots/c/06015900;2976 Chelsea Boots | Dr. Martens Official;The Chelsea boot dates all the way back to the Victorian era. But it wasn't until the 1970s that it was given a rugged DMs overhaul. The 2976 is our tough take on the Chelsea boot. Built with elasticated side panels, a robust air-cushioned sole and all our core DNA. The unisex boot comes in a variety of bold colors and textures: from our OriginalsSmooth leather to contemporary designs.  (View more);2976 Chelsea Boots;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/boots/c/06010000;Home,ORIGINALS BOOTS AND SHOES,BOOTS
06015800;https://www.drmartens.com/us/en/originals-boots-and-shoes/boots/101-ankle-boots/c/06015800;101 (6 Eye Boots) | Dr. Martens Official;"
                    The 101 is an instantly recognizable Dr. Martens ankle boot that packs all our DNA into a sleek, 6-eye silhouette. Available in both Brando and Smooth leather, our 101 leather boots are crafted with a Goodyear-welted construction and sit on our renowned AirWair soles. ";101 Lace-Up Boots;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/boots/c/06010000;Home,ORIGINALS BOOTS AND SHOES,BOOTS
06016000;https://www.drmartens.com/us/en/originals-boots-and-shoes/boots/1914-tall-lace-up-boots/c/06016000;1914 (14 Eye Boots) | Dr. Martens Official;Over time our boots have become icons, recognized around the world for their distinct silhouettes and air-cushioned comfort. Our range of towering, 14-eye 1914 lace up boots are no different. Available in the iconic Dr. Martens Originals Smooth leather, the collection is ever-evolving and continues to stay true to our heritage. Shop our range of 1914 boots below.  (View more);1914 Tall Boots;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/boots/c/06010000;Home,ORIGINALS BOOTS AND SHOES,BOOTS
06016100;https://www.drmartens.com/us/en/originals-boots-and-shoes/boots/church-boots/c/06016100;Church Monkey Boots | Dr. Martens Official;"
                    Inspired by an old design taken from the DMs vault, our collection of Church monkey boots are built from a traditional biscuit-backed leather and color-matched to our original archive samples. The yellow stitching, AirWair heel loop and air-cushioned sole mark them as Dr. Martens. ";Church Monkey Boots;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/boots/c/06010000;Home,ORIGINALS BOOTS AND SHOES,BOOTS
06020000;https://www.drmartens.com/us/en/originals-boots-and-shoes/shoes/c/06020000;Original Shoes & Boots | Dr. Martens Official;"
                    Designed for industry. Championed through music. Our Originals shoes were first built decades ago and have become iconic through our many wearers. Renowned for their durability, the collection includes men's shoes which stay true to our core heritage and DNA. ";Originals Shoes;/us/en/,/us/en/originals-boots-and-shoes/c/06000000;Home,ORIGINALS BOOTS AND SHOES
06026200;https://www.drmartens.com/us/en/originals-boots-and-shoes/shoes/1461-oxford-shoes/c/06026200;1461 Shoes | Dr. Martens Official;"
                    Our Original 1461 shoe, was the second style we ever produced, way back in 1961. These days the 1461 Oxford shoe collection includes a variety of vegan and leather designs, such as the 1461 Smooth and 1461 Mono, all built to empower your individual style while offering air-cushioned comfort. ";1461 Oxford Shoes;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/shoes/c/06020000;Home,ORIGINALS BOOTS AND SHOES,SHOES
06026300;https://www.drmartens.com/us/en/originals-boots-and-shoes/shoes/3989-brogue-shoes/c/06026300;3989 Brogue Shoes | Dr. Martens Official;"
                    In the 1960s, the 3989 broke the mold for a British brogue shoe. Unisex and robust, on a rugged AirWair sole, it's a brogue made the Dr. Martens way. The collection now includes a variety of brogue dress shoes, including leather and vegan alternatives, as well as pairs manufactured at our original Cobbs Lane factory in England. ";3989 Brogue Shoes;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/shoes/c/06020000;Home,ORIGINALS BOOTS AND SHOES,SHOES
